year,nuclear electric power (quadrillion btu),nuclear electricity net generation (million kilowatthours),nuclear share of electricity net generation (percent)
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0.006,518,0.1
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0.043,3657,0.3
1966,0,0,0
1967,0,0,0
1978,0,0,0
1969,0,0,0
1970,0.239,21804,1.4
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,1.9,172505,9
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,2.739,251116,11
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,4.076,383691,15.5
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,6.104,576862,19
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,7.705,673402,20.1
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,7.862,753893,19.8
2001,8.029,768826,20.6
2002,8.145,780064,20.2
2003,7.96,763733,19.7
2004,8.223,788528,19.9
2005,8.161,781986,19.3
2006,8.215,787219,19.4
2007,8.459,806425,19.4
2008,8.426,806208,19.6
2009,8.355,798855,20.2
2010,8.434,806968,19.6
2011,8.269,790204,19.3
2012,8.062,769331,19
2013,8.244,789016,19.4
2014,8.338,797166,19.5
2015,8.337,797178,19.6
2016,8.427,805694,19.8
2017,8.419,804950,20